ID,L1,W1,L2,W2,
347, 7.25, 1.78, -1.46, 10.69,
348, 7.25, 1.78, -1.46, 10.70,
349, 7.25, 1.78, -1.46, 10.71,
350, 7.25, 1.78, -1.46, 10.71,
351, 7.25, 1.78, -1.46, 10.71,
352, 7.25, 1.78, -1.46, 10.71,
353, 7.25, 1.78, -1.46, 10.71,
354, 7.25, 1.78, -1.46, 10.71,
355, 7.25, 1.78, -1.46, 10.71,
356, 7.25, 1.78, -1.46, 10.72,
357, 7.25, 1.78, -1.46, 10.73,
358, 7.25, 1.78, -1.46, 10.75,
359, 7.25, 1.78, -1.46, 10.78,
360, 7.25, 1.78, -1.46, 10.78,
361, 7.25, 1.78, -1.46, 10.78,
362, 7.25, 1.78, -1.46, 10.80,
363, 7.25, 1.78, -1.46, 10.82,
364, 7.25, 1.78, -1.46, 10.84,
365, 7.25, 1.78, -1.46, 10.84,
366, 7.25, 1.78, -1.46, 10.84,
367, 7.25, 1.78, -1.46, 10.84,
368, 7.25, 1.78, -1.46, 10.84,
369, 7.25, 1.78, -1.46, 10.84,
370, 7.25, 1.78, -1.46, 10.84,
371, 7.25, 1.78, -1.46, 10.84,
372, 7.25, 1.78, -1.46, 10.84,
373, 7.25, 1.78, -1.46, 10.86,
374, 7.25, 1.78, -1.46, 10.91,
375, 7.25, 1.78, -1.46, 10.93,
376, 7.25, 1.78, -1.46, 10.97,
377, 7.25, 1.78, -1.46, 11.08,
378, 7.25, 1.79, -1.51, 11.29,
379, 7.25, 1.79, -1.51, 11.40,
380, 7.25, 1.79, -1.60, 11.43,
381, 7.25, 1.79, -1.66, 11.45,
382, 7.25, 1.79, -1.69, 11.46,
383, 7.25, 1.79, -1.71, 11.46,
384, 7.25, 1.79, -1.71, 11.46,
385, 7.25, 1.79, -1.72, 11.46,
386, 7.25, 1.79, -1.72, 11.46,
387, 7.25, 1.79, -1.72, 11.46,
388, 7.25, 1.79, -1.76, 11.47,
389, 7.25, 1.79, -1.78, 11.48,
390, 7.25, 1.79, -1.78, 11.48,
391, 7.25, 1.79, -1.78, 11.48,
392, 7.25, 1.79, -1.79, 11.48,
393, 7.25, 1.79, -1.79, 11.48,
394, 7.25, 1.79, -1.79, 11.49,
395, 7.25, 1.79, -1.79, 11.49,
396, 7.25, 1.79, -1.79, 11.49,
397, 7.25, 1.79, -1.79, 11.49,
398, 7.25, 1.79, -1.79, 11.49,
399, 7.25, 1.79, -1.79, 11.49,
400, 7.25, 1.79, -1.79, 11.49,
401, 7.25, 1.79, -1.79, 11.49,
402, 7.25, 1.79, -1.79, 11.49,
403, 7.25, 1.79, -1.79, 11.49,
404, 7.25, 1.79, -1.79, 11.49,
405, 7.25, 1.79, -1.79, 11.49,
406, 7.25, 1.79, -1.79, 11.49,
407, 7.25, 1.79, -1.79, 11.49,
408, 7.25, 1.79, -1.79, 11.49,
409, 7.25, 1.79, -1.79, 11.49,
410, 7.25, 1.79, -1.79, 11.49,
411, 7.25, 1.79, -1.79, 11.49,
412, 7.25, 1.79, -1.79, 11.49,
413, 7.25, 1.79, -1.79, 11.49,
414, 7.25, 1.79, -1.79, 11.49,
415, 7.25, 1.79, -1.79, 11.49,
416, 7.25, 1.79, -1.79, 11.49,
417, 7.25, 1.78, -1.79, 11.49,
418, 7.25, 1.78, -1.79, 11.49,
419, 7.25, 1.78, -1.79, 11.49,
420, 7.25, 1.78, -1.79, 11.49,
421, 7.25, 1.78, -1.79, 11.50,
422, 7.25, 1.78, -1.79, 11.50,
423, 7.25, 1.78, -1.79, 11.50,
424, 7.25, 1.78, -1.79, 11.50,
425, 7.25, 1.78, -1.79, 11.50,
426, 7.25, 1.78, -1.79, 11.50,
427, 7.25, 1.78, -1.81, 11.50,
428, 7.25, 1.78, -1.81, 11.51,
429, 7.23, 1.78, -1.82, 11.51,
430, 7.23, 1.78, -1.82, 11.52,
431, 7.23, 1.78, -1.84, 11.52,
432, 7.23, 1.78, -1.84, 11.53,
433, 7.23, 1.78, -1.85, 11.53,
434, 7.23, 1.78, -1.88, 11.54,
435, 7.23, 1.78, -1.90, 11.55,
436, 7.23, 1.78, -1.93, 11.55,
437, 7.23, 1.78, -1.94, 11.56,
438, 7.23, 1.78, -1.94, 11.56,
439, 7.23, 1.78, -1.96, 11.57,
440, 7.23, 1.78, -1.97, 11.57,
441, 7.23, 1.78, -1.98, 11.57,
442, 7.23, 1.78, -2.00, 11.58,
443, 7.23, 1.78, -2.03, 11.58,
444, 7.23, 1.78, -2.07, 11.60,
445, 7.23, 1.78, -2.15, 11.61,
446, 7.23, 1.78, -2.22, 11.62,
447, 7.23, 1.78, -2.28, 11.64,
448, 7.23, 1.78, -2.35, 11.66,
449, 7.23, 1.78, -2.50, 11.68,
450, 7.23, 1.78, -2.68, 11.72,
451, 7.23, 1.78, -2.82, 11.75,
452, 7.23, 1.78, -2.93, 11.77,
453, 7.23, 1.78, -3.01, 11.79,
454, 7.23, 1.78, -3.10, 11.80,
455, 7.23, 1.78, -3.21, 11.82,
456, 7.23, 1.78, -3.34, 11.85,
457, 7.23, 1.78, -3.62, 11.89,
458, 7.23, 1.78, -3.90, 11.94,
459, 7.23, 1.78, -4.28, 12.00,
460, 7.23, 1.78, -4.59, 12.04,
461, 7.23, 1.78, -4.84, 12.08,
462, 7.23, 1.78, -4.98, 12.10,
463, 7.23, 1.78, -5.13, 12.11,
464, 7.23, 1.78, -5.28, 12.13,
465, 7.23, 1.78, -5.31, 12.13,
466, 7.23, 1.78, -5.31, 12.13,
467, 7.23, 1.78, -5.35, 12.13,
468, 7.23, 1.78, -5.50, 12.16,
469, 7.23, 1.78, -5.62, 12.18,
470, 7.23, 1.78, -5.75, 12.19,
471, 7.23, 1.78, -5.84, 12.20,
472, 7.23, 1.78, -5.85, 12.21,
473, 7.23, 1.78, -5.85, 12.21,
474, 7.23, 1.78, -5.85, 12.21,
475, 7.23, 1.78, -5.87, 12.21,
476, 7.23, 1.78, -5.88, 12.21,
477, 7.23, 1.78, -5.88, 12.21,
478, 7.23, 1.78, -5.88, 12.21,
479, 7.23, 1.78, -5.88, 12.21,
480, 7.23, 1.78, -5.88, 12.21,
481, 7.23, 1.78, -5.88, 12.21,
482, 7.23, 1.78, -5.88, 12.21,
483, 7.23, 1.78, -5.88, 12.21,
484, 7.23, 1.78, -5.88, 12.21,
485, 7.23, 1.78, -5.88, 12.21,
486, 7.23, 1.78, -5.88, 12.21,
487, 7.23, 1.78, -5.88, 12.21,
488, 7.23, 1.78, -5.88, 12.21,
489, 7.23, 1.78, -5.88, 12.21,
490, 7.23, 1.78, -5.88, 12.21,
491, 7.23, 1.78, -5.88, 12.21,
492, 7.23, 1.78, -5.88, 12.21,
493, 7.23, 1.78, -5.88, 12.21,
494, 7.23, 1.78, -5.88, 12.21,
495, 7.23, 1.78, -5.88, 12.21,
496, 7.70, 1.78, -5.88, 12.21,
497, 7.70, 1.78, -5.88, 12.21,
498, 7.70, 1.78, -5.88, 12.21,
499, 7.70, 1.78, -5.88, 12.21,
500, 7.70, 1.78, -5.88, 12.21,
501, 7.70, 1.78, -5.88, 12.21,
502, 7.63, 1.78, -5.90, 12.21,
503, 7.28, 1.79, -5.90, 12.21,
504, 7.16, 1.79, -5.90, 12.21,
505, 7.09, 1.79, -5.90, 12.21,
506, 7.07, 1.79, -5.90, 12.21,
507, 7.07, 1.79, -5.90, 12.21,
508, 7.06, 1.79, -5.90, 12.21,
509, 6.78, 1.79, -5.90, 12.21,
510, 6.78, 1.79, -5.90, 12.21,
511, 6.78, 1.79, -5.90, 12.21,
512, 6.78, 1.79, -5.90, 12.21,
513, 6.78, 1.79, -5.90, 12.21,
514, 6.78, 1.79, -5.90, 12.21,
515, 6.78, 1.79, -5.90, 12.21,
516, 6.78, 1.79, -5.90, 12.21,
517, 6.78, 1.79, -5.90, 12.21,
518, 6.78, 1.78, -5.90, 12.21,
519, 6.78, 1.78, -5.90, 12.21,
520, 6.78, 1.78, -5.90, 12.21,
521, 6.78, 1.78, -5.90, 12.21,
522, 6.78, 1.78, -5.90, 12.21,
523, 6.78, 1.78, -5.90, 12.21,
524, 6.78, 1.78, -5.90, 12.21,
525, 6.78, 1.78, -5.90, 12.21,
526, 6.78, 1.78, -5.90, 12.21,
527, 6.78, 1.78, -5.90, 12.21,
528, 6.78, 1.78, -5.90, 12.21,
529, 6.78, 1.78, -5.90, 12.21,
530, 6.78, 1.78, -5.90, 12.21,
531, 6.78, 1.78, -5.90, 12.21,
532, 6.78, 1.78, -5.90, 12.21,
533, 6.78, 1.78, -5.90, 12.21,
534, 6.78, 1.78, -5.90, 12.21,
535, 6.78, 1.78, -5.90, 12.21,
536, 6.78, 1.78, -5.90, 12.21,
537, 6.78, 1.78, -5.90, 12.21,
538, 6.78, 1.78, -5.90, 12.21,
539, 6.78, 1.78, -5.90, 12.21,
540, 6.78, 1.78, -5.90, 12.21,
541, 6.78, 1.78, -5.91, 12.21,
542, 6.78, 1.78, -5.91, 12.21,
543, 6.78, 1.78, -5.91, 12.21,
544, 6.78, 1.78, -5.91, 12.21,
545, 6.78, 1.78, -5.91, 12.21,
546, 6.78, 1.78, -5.91, 12.21,
547, 6.78, 1.78, -5.91, 12.21,
548, 6.78, 1.78, -5.91, 12.21,
549, 6.78, 1.78, -5.93, 12.21,
550, 6.78, 1.78, -5.95, 12.21,
551, 6.78, 1.78, -6.00, 12.21,
552, 6.78, 1.78, -6.12, 12.25,
553, 6.78, 1.78, -6.29, 12.26,
554, 6.78, 1.78, -6.34, 12.26,
555, 6.78, 1.78, -6.37, 12.26,
556, 6.78, 1.78, -6.40, 12.26,
557, 6.78, 1.78, -6.54, 12.27,
558, 6.78, 1.78, -6.65, 12.29,
559, 6.76, 1.78, -6.73, 12.29,
560, 6.76, 1.78, -6.84, 12.31,
561, 6.76, 1.78, -6.88, 12.32,
562, 6.76, 1.78, -6.94, 12.32,
563, 6.76, 1.78, -6.98, 12.33,
564, 6.76, 1.78, -7.04, 12.33,
565, 6.76, 1.78, -7.15, 12.34,
566, 6.76, 1.78, -7.32, 12.36,
567, 6.91, 1.78, -7.47, 12.36,
568, 7.00, 1.78, -7.56, 12.36,
569, 7.03, 1.78, -7.59, 12.36,
570, 7.07, 1.78, -7.63, 12.36,
571, 7.16, 1.78, -7.70, 12.38,
572, 7.29, 1.78, -7.84, 12.38,
573, 7.41, 1.78, -7.94, 12.38,
574, 7.45, 1.78, -8.01, 12.38,
575, 7.51, 1.78, -8.10, 12.38,
576, 7.56, 1.78, -8.15, 12.39,
577, 7.62, 1.78, -8.20, 12.39,
578, 7.75, 1.78, -8.29, 12.39,
579, 7.85, 1.78, -8.38, 12.39,
580, 7.94, 1.78, -8.48, 12.39,
581, 8.00, 1.78, -8.54, 12.39,
582, 8.06, 1.78, -8.62, 12.39,
583, 8.10, 1.78, -8.70, 12.39,
584, 8.16, 1.78, -8.76, 12.39,
585, 8.22, 1.78, -8.84, 12.39,
586, 8.29, 1.78, -8.91, 12.39,
587, 8.35, 1.78, -8.97, 12.39,
588, 8.38, 1.78, -9.00, 12.39,
589, 8.41, 1.78, -9.03, 12.39,
590, 8.47, 1.78, -9.10, 12.39,
591, 8.51, 1.78, -9.15, 12.39,
592, 8.60, 1.78, -9.22, 12.39,
593, 8.75, 1.78, -9.32, 12.39,
594, 8.84, 1.78, -9.41, 12.39,
595, 8.87, 1.78, -9.44, 12.39,
596, 8.91, 1.78, -9.47, 12.39,
597, 8.95, 1.78, -9.53, 12.39,
598, 9.00, 1.78, -9.57, 12.39,
599, 9.04, 1.78, -9.63, 12.39,
600, 9.12, 1.78, -9.69, 12.39,
601, 9.17, 1.78, -9.75, 12.39,
602, 9.25, 1.78, -9.82, 12.39,
603, 9.32, 1.78, -9.92, 12.39,
604, 9.42, 1.78, -10.04, 12.39,
605, 9.53, 1.78, -10.14, 12.39,
606, 9.62, 1.78, -10.25, 12.39,
607, 9.66, 1.78, -10.28, 12.39,
